Newspaper Title,Issue Date,Page Number,LCCN,City,State,Contributor,Batch,PDF Link
['Elizabeth daily monitor'],08-20-1873,4,['sn83032217'],['elizabeth'],['new jersey'],['Rutgers University Libraries'],['njr_beachhaven_ver01'],https://tile.loc.gov/storage-services/service/ndnp/njr/batch_njr_beachhaven_ver01/data/sn83032217/00513684952/1873082001/0027.pdf
['Elizabeth daily monitor'],08-16-1873,2,['sn83032217'],['elizabeth'],['new jersey'],['Rutgers University Libraries'],['njr_beachhaven_ver01'],https://tile.loc.gov/storage-services/service/ndnp/njr/batch_njr_beachhaven_ver01/data/sn83032217/00513684952/1873081601/0021.pdf
['Elizabeth daily monitor'],09-22-1873,2,['sn83032217'],['elizabeth'],['new jersey'],['Rutgers University Libraries'],['njr_beachhaven_ver01'],https://tile.loc.gov/storage-services/service/ndnp/njr/batch_njr_beachhaven_ver01/data/sn83032217/00513684952/1873092201/0133.pdf
['Elizabeth daily monitor'],09-23-1873,2,['sn83032217'],['elizabeth'],['new jersey'],['Rutgers University Libraries'],['njr_beachhaven_ver01'],https://tile.loc.gov/storage-services/service/ndnp/njr/batch_njr_beachhaven_ver01/data/sn83032217/00513684952/1873092301/0137.pdf
['The Lambertville record'],06-17-1874,2,['sn84026089'],['lambertville'],['new jersey'],['Rutgers University Libraries'],['njr_asburypark_ver01'],https://tile.loc.gov/storage-services/service/ndnp/njr/batch_njr_asburypark_ver01/data/sn84026089/00514155860/1874061701/0367.pdf
['West-Jersey pioneer'],10-22-1874,1,['sn83032103'],['bridgeton'],['new jersey'],['Rutgers University Libraries'],['njr_juniper_ver01'],https://tile.loc.gov/storage-services/service/ndnp/njr/batch_njr_juniper_ver01/data/sn83032103/00383340664/1874102201/0371.pdf
['Elizabeth daily monitor'],10-04-1873,3,['sn83032217'],['elizabeth'],['new jersey'],['Rutgers University Libraries'],['njr_beachhaven_ver01'],https://tile.loc.gov/storage-services/service/ndnp/njr/batch_njr_beachhaven_ver01/data/sn83032217/00513684952/1873100401/0176.pdf
['West-Jersey pioneer'],02-13-1874,1,['sn83032103'],['bridgeton'],['new jersey'],['Rutgers University Libraries'],['njr_juniper_ver01'],https://tile.loc.gov/storage-services/service/ndnp/njr/batch_njr_juniper_ver01/data/sn83032103/00383340664/1874021301/0227.pdf
['The Monmouth inquirer'],10-01-1874,1,['sn83032307'],['freehold'],['new jersey'],['Rutgers University Libraries'],['njr_eggharbor_ver01'],https://tile.loc.gov/storage-services/service/ndnp/njr/batch_njr_eggharbor_ver01/data/sn83032307/00513685270/1874100101/0362.pdf
