Newspaper Title,Issue Date,Page Number,LCCN,City,State,Contributor,Batch,PDF Link
['Alexandria gazette'],02-06-1873,3,['sn85025007'],['alexandria'],"['virginia', 'district of columbia']","['Library of Virginia; Richmond, VA']",['vi_fezza_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_fezza_ver01/data/sn85025007/00415663705/1873020601/0132.pdf
['Alexandria gazette'],06-05-1873,3,['sn85025007'],['alexandria'],"['virginia', 'district of columbia']","['Library of Virginia; Richmond, VA']",['vi_fezza_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_fezza_ver01/data/sn85025007/00415663705/1873060501/0536.pdf
['Alexandria gazette'],06-25-1874,1,['sn85025007'],['alexandria'],"['virginia', 'district of columbia']","['Library of Virginia; Richmond, VA']",['vi_fezza_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_fezza_ver01/data/sn85025007/00415663730/1874062501/0603.pdf
['Clarke courier'],07-09-1874,1,['sn85025371'],['berryville'],['virginia'],"['Library of Virginia; Richmond, VA']",['vi_longines_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_longines_ver01/data/sn85025371/00542867218/1874070901/0321.pdf
['Alexandria gazette'],01-30-1873,2,['sn85025007'],['alexandria'],"['virginia', 'district of columbia']","['Library of Virginia; Richmond, VA']",['vi_fezza_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_fezza_ver01/data/sn85025007/00415663705/1873013001/0107.pdf
['Alexandria gazette'],10-06-1874,2,['sn85025007'],['alexandria'],"['virginia', 'district of columbia']","['Library of Virginia; Richmond, VA']",['vi_fezza_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_fezza_ver01/data/sn85025007/00415663742/1874100601/0336.pdf
['The Daily state journal'],06-07-1873,1,['sn84024670'],"['richmond', 'alexandria']",['virginia'],"['Library of Virginia; Richmond, VA']",['vi_devilsbag_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_devilsbag_ver01/data/sn84024670/00280762416/1873060701/0555.pdf
['Alexandria gazette'],01-20-1873,3,['sn85025007'],['alexandria'],"['virginia', 'district of columbia']","['Library of Virginia; Richmond, VA']",['vi_fezza_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_fezza_ver01/data/sn85025007/00415663705/1873012001/0072.pdf
['Alexandria gazette'],07-30-1874,3,['sn85025007'],['alexandria'],"['virginia', 'district of columbia']","['Library of Virginia; Richmond, VA']",['vi_fezza_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_fezza_ver01/data/sn85025007/00415663742/1874073001/0105.pdf
['Alexandria gazette'],05-20-1873,2,['sn85025007'],['alexandria'],"['virginia', 'district of columbia']","['Library of Virginia; Richmond, VA']",['vi_fezza_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_fezza_ver01/data/sn85025007/00415663705/1873052001/0479.pdf
['The Daily state journal'],02-25-1874,1,['sn84024670'],"['richmond', 'alexandria']",['virginia'],"['Library of Virginia; Richmond, VA']",['vi_devilsbag_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_devilsbag_ver01/data/sn84024670/00280762222/1874022501/0204.pdf
['Shenandoah herald'],05-08-1873,1,['sn85026941'],['woodstock'],['virginia'],"['Library of Virginia; Richmond, VA']",['vi_jennet_ver02'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_jennet_ver02/data/sn85026941/00393348458/1873050801/0280.pdf
['The central Presbyterian'],09-17-1873,1,['sn89053987'],['richmond'],['virginia'],"['Library of Virginia; Richmond, VA']",['vi_invicta_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_invicta_ver01/data/sn89053987/print/1873091701/0136.pdf
['The Daily state journal'],09-20-1873,1,['sn84024670'],"['richmond', 'alexandria']",['virginia'],"['Library of Virginia; Richmond, VA']",['vi_forego_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_forego_ver01/data/sn84024670/00280762428/1873092001/0306.pdf
['Alexandria gazette'],03-21-1874,2,['sn85025007'],['alexandria'],"['virginia', 'district of columbia']","['Library of Virginia; Richmond, VA']",['vi_fezza_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_fezza_ver01/data/sn85025007/00415663730/1874032101/0276.pdf
['Alexandria gazette'],01-22-1872,3,['sn85025007'],['alexandria'],"['virginia', 'district of columbia']","['Library of Virginia; Richmond, VA']",['vi_fezza_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_fezza_ver01/data/sn85025007/00415663687/1872012201/0081.pdf
['The Daily state journal'],10-14-1873,1,['sn84024670'],"['richmond', 'alexandria']",['virginia'],"['Library of Virginia; Richmond, VA']",['vi_forego_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_forego_ver01/data/sn84024670/00280762428/1873101401/0386.pdf
['Alexandria gazette'],04-02-1873,2,['sn85025007'],['alexandria'],"['virginia', 'district of columbia']","['Library of Virginia; Richmond, VA']",['vi_fezza_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_fezza_ver01/data/sn85025007/00415663705/1873040201/0315.pdf
['Shenandoah herald'],02-19-1874,2,['sn85026941'],['woodstock'],['virginia'],"['Library of Virginia; Richmond, VA']",['vi_jennet_ver02'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_jennet_ver02/data/sn85026941/00393348458/1874021901/0438.pdf
['The valley Virginian'],10-23-1873,1,['sn84024707'],"['clifton forge', 'staunton']",['virginia'],"['Library of Virginia; Richmond, VA']",['vi_lippizaner_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_lippizaner_ver01/data/sn84024707/00393348719/1873102301/0363.pdf
['Staunton spectator'],11-25-1873,1,['sn84024718'],['staunton'],['virginia'],"['Library of Virginia; Richmond, VA']",['vi_lure_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_lure_ver01/data/sn84024718/00280762490/1873112501/0578.pdf
['The Daily state journal'],01-20-1873,1,['sn84024670'],"['richmond', 'alexandria']",['virginia'],"['Library of Virginia; Richmond, VA']",['vi_devilsbag_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_devilsbag_ver01/data/sn84024670/00280762416/1873012001/0076.pdf
['The daily dispatch'],09-21-1873,1,['sn84024738'],['richmond'],['virginia'],"['Library of Virginia; Richmond, VA']",['vi_kors_ver02'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_kors_ver02/data/sn84024738/00271742058/1873092101/0287.pdf
['The central Presbyterian'],04-30-1873,3,['sn89053987'],['richmond'],['virginia'],"['Library of Virginia; Richmond, VA']",['vi_otters_ver02'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_otters_ver02/data/sn89053987/00414184418/1873043001/0217.pdf
['The daily dispatch'],12-30-1874,3,['sn84024738'],['richmond'],['virginia'],"['Library of Virginia; Richmond, VA']",['vi_lauren_ver02'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_lauren_ver02/data/sn84024738/00271742071/1874123001/0629.pdf
['The Daily state journal'],02-13-1872,3,['sn84024670'],"['richmond', 'alexandria']",['virginia'],"['Library of Virginia; Richmond, VA']",['vi_forego_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_forego_ver01/data/sn84024670/00280762374/1872021301/0160.pdf
['The daily dispatch'],07-31-1874,3,['sn84024738'],['richmond'],['virginia'],"['Library of Virginia; Richmond, VA']",['vi_lauren_ver02'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_lauren_ver02/data/sn84024738/00271742071/1874073101/0113.pdf
['The daily dispatch'],02-13-1872,4,['sn84024738'],['richmond'],['virginia'],"['Library of Virginia; Richmond, VA']",['vi_kors_ver02'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_kors_ver02/data/sn84024738/00271742022/1872021301/0158.pdf
['The daily dispatch'],09-04-1872,3,['sn84024738'],['richmond'],['virginia'],"['Library of Virginia; Richmond, VA']",['vi_kors_ver02'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_kors_ver02/data/sn84024738/00271742034/1872090401/0229.pdf
['The Daily state journal'],01-23-1872,4,['sn84024670'],"['richmond', 'alexandria']",['virginia'],"['Library of Virginia; Richmond, VA']",['vi_forego_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_forego_ver01/data/sn84024670/00280762374/1872012301/0089.pdf
['Virginia Staats-Gazette'],12-12-1874,4,['sn85026936'],['richmond'],['virginia'],"['Library of Virginia; Richmond, VA']",['vi_jennet_ver02'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_jennet_ver02/data/sn85026936/00393348616/1874121201/1159.pdf
