Newspaper Title,Issue Date,Page Number,LCCN,City,State,Contributor,Batch,PDF Link
['New-York tribune'],05-14-1873,6,['sn83030214'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_grass_ver02'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_grass_ver02/data/sn83030214/00206531149/1873051401/0108.pdf
['The New York herald.'],05-21-1873,9,['sn83030313'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_houseleek_ver01'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_houseleek_ver01/data/sn83030313/00271743828/1873052101/0726.pdf
['The New York herald.'],06-13-1873,6,['sn83030313'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_houseleek_ver01'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_houseleek_ver01/data/sn83030313/00271743828/1873061301/1015.pdf
['New-York tribune'],05-16-1874,12,['sn83030214'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_hugo_ver02'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_hugo_ver02/data/sn83030214/00206531174/1874051601/0394.pdf
['New-York tribune'],02-06-1873,4,['sn83030214'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_grass_ver02'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_grass_ver02/data/sn83030214/00206531137/1873020601/0272.pdf
['The New York herald.'],10-25-1872,7,['sn83030313'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_juneberry_ver01'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_juneberry_ver01/data/sn83030313/00271743804/1872102501/0332.pdf
['The New York herald.'],11-30-1872,11,['sn83030313'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_juneberry_ver01'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_juneberry_ver01/data/sn83030313/00271743804/1872113001/0788.pdf
['The New York herald.'],01-08-1873,7,['sn83030313'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_goldenglow_ver01'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_goldenglow_ver01/data/sn83030313/00271743816/1873010801/0094.pdf
['New-York tribune'],11-16-1872,4,['sn83030214'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_grass_ver02'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_grass_ver02/data/sn83030214/00206531125/1872111601/0562.pdf
['The New York herald.'],02-10-1874,7,['sn83030313'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_goldenglow_ver01'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_goldenglow_ver01/data/sn83030313/00271743853/1874021001/0465.pdf
['The New York herald.'],01-01-1874,5,['sn83030313'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_goldenglow_ver01'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_goldenglow_ver01/data/sn83030313/00271743853/1874010101/0023.pdf
['New-York tribune'],01-03-1873,4,['sn83030214'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_grass_ver02'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_grass_ver02/data/sn83030214/00206531137/1873010301/0026.pdf
['New-York tribune'],09-09-1872,4,['sn83030214'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_grass_ver02'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_grass_ver02/data/sn83030214/00206531125/1872090901/0062.pdf
['The New York herald.'],01-25-1873,8,['sn83030313'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_goldenglow_ver01'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_goldenglow_ver01/data/sn83030313/00271743816/1873012501/0298.pdf
['The New York herald.'],02-03-1873,3,['sn83030313'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_goldenglow_ver01'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_goldenglow_ver01/data/sn83030313/00271743816/1873020301/0399.pdf
['The New York herald.'],01-30-1872,3,['sn83030313'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_goldenglow_ver01'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_goldenglow_ver01/data/sn83030313/00271743774/1872013001/0362.pdf
['New-York tribune'],04-24-1874,1,['sn83030214'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_hugo_ver02'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_hugo_ver02/data/sn83030214/00206531174/1874042401/0197.pdf
['The New York herald.'],09-17-1873,6,['sn83030313'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_itchweed_ver01'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_itchweed_ver01/data/sn83030313/0027174383A/1873091701/0940.pdf
['The New York herald.'],09-21-1873,9,['sn83030313'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_itchweed_ver01'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_itchweed_ver01/data/sn83030313/0027174383A/1873092101/0999.pdf
['The New York herald.'],11-27-1872,11,['sn83030313'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_juneberry_ver01'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_juneberry_ver01/data/sn83030313/00271743804/1872112701/0756.pdf
['The New York herald.'],02-11-1874,3,['sn83030313'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_goldenglow_ver01'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_goldenglow_ver01/data/sn83030313/00271743853/1874021101/0473.pdf
['The New York herald.'],01-16-1874,7,['sn83030313'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_goldenglow_ver01'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_goldenglow_ver01/data/sn83030313/00271743853/1874011601/0175.pdf
['The New York herald.'],12-15-1872,5,['sn83030313'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_juneberry_ver01'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_juneberry_ver01/data/sn83030313/00271743804/1872121501/0968.pdf
['New-York tribune'],06-15-1874,1,['sn83030214'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_hugo_ver02'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_hugo_ver02/data/sn83030214/00206531174/1874061501/0629.pdf
['New-York tribune'],09-09-1872,1,['sn83030214'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_grass_ver02'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_grass_ver02/data/sn83030214/00206531125/1872090901/0059.pdf
