Newspaper Title,Issue Date,Page Number,LCCN,City,State,Contributor,Batch,PDF Link
['Juniata sentinel and Republican.'],03-18-1874,4,['sn86053634'],['mifflintown'],['pennsylvania'],"['Penn State University Libraries; University Park, PA']",['pst_hetzel_ver01'],https://tile.loc.gov/storage-services/service/ndnp/pst/batch_pst_hetzel_ver01/data/sn86053634/00280776671/1874031801/0092.pdf
['The Elk County advocate.'],04-16-1874,4,['sn84026259'],['ridgway'],['pennsylvania'],"['Penn State University Libraries; University Park, PA']",['pst_deike_ver01'],https://tile.loc.gov/storage-services/service/ndnp/pst/batch_pst_deike_ver01/data/sn84026259/00280776087/1874041601/0262.pdf
['The Centre reporter.'],08-27-1874,2,['sn83032058'],['centre hall'],['pennsylvania'],"['Penn State University Libraries; University Park, PA']",['pst_kellerman_ver01'],https://tile.loc.gov/storage-services/service/ndnp/pst/batch_pst_kellerman_ver01/data/sn83032058/00296028733/1874082701/0082.pdf
['The Cambria freeman.'],04-18-1873,3,['sn83032041'],['ebensburg'],['pennsylvania'],"['Penn State University Libraries; University Park, PA']",['pst_kern_ver01'],https://tile.loc.gov/storage-services/service/ndnp/pst/batch_pst_kern_ver01/data/sn83032041/00212477692/1873041801/0466.pdf
['Clearfield Republican.'],12-02-1874,3,['sn83032199'],['clearfield'],['pennsylvania'],"['Penn State University Libraries; University Park, PA']",['pst_lasch_ver01'],https://tile.loc.gov/storage-services/service/ndnp/pst/batch_pst_lasch_ver01/data/sn83032199/00212477862/1874120201/0701.pdf
['The Centre reporter.'],02-12-1874,3,['sn83032058'],['centre hall'],['pennsylvania'],"['Penn State University Libraries; University Park, PA']",['pst_kellerman_ver01'],https://tile.loc.gov/storage-services/service/ndnp/pst/batch_pst_kellerman_ver01/data/sn83032058/00296028721/1874021201/0635.pdf
['The Centre reporter.'],12-24-1874,3,['sn83032058'],['centre hall'],['pennsylvania'],"['Penn State University Libraries; University Park, PA']",['pst_kellerman_ver01'],https://tile.loc.gov/storage-services/service/ndnp/pst/batch_pst_kellerman_ver01/data/sn83032058/00296028733/1874122401/0147.pdf
['The Centre reporter.'],06-18-1874,1,['sn83032058'],['centre hall'],['pennsylvania'],"['Penn State University Libraries; University Park, PA']",['pst_kellerman_ver01'],https://tile.loc.gov/storage-services/service/ndnp/pst/batch_pst_kellerman_ver01/data/sn83032058/00296028733/1874061801/0045.pdf
['The Centre reporter.'],03-29-1872,4,['sn83032058'],['centre hall'],['pennsylvania'],"['Penn State University Libraries; University Park, PA']",['pst_kellerman_ver01'],https://tile.loc.gov/storage-services/service/ndnp/pst/batch_pst_kellerman_ver01/data/sn83032058/00296028721/1872032901/0258.pdf
"[""The workingman's advocate""]",07-06-1872,1,['sn89077510'],"['chicago', 'philadelphia', 'detroit', 'cincinnati']","['illinois', 'pennsylvania', 'michigan', 'ohio']","['University of Illinois at Urbana-Champaign Library, Urbana, IL']",['iune_amethyst_ver01'],https://tile.loc.gov/storage-services/service/ndnp/iune/batch_iune_amethyst_ver01/data/sn89077510/00332897895/1872070601/0197.pdf
['The Centre reporter.'],02-27-1873,1,['sn83032058'],['centre hall'],['pennsylvania'],"['Penn State University Libraries; University Park, PA']",['pst_kellerman_ver01'],https://tile.loc.gov/storage-services/service/ndnp/pst/batch_pst_kellerman_ver01/data/sn83032058/00296028721/1873022701/0443.pdf
"[""The workingman's advocate""]",07-12-1873,3,['sn89077510'],"['chicago', 'philadelphia', 'detroit', 'cincinnati']","['illinois', 'pennsylvania', 'michigan', 'ohio']","['University of Illinois at Urbana-Champaign Library, Urbana, IL']",['iune_amethyst_ver01'],https://tile.loc.gov/storage-services/service/ndnp/iune/batch_iune_amethyst_ver01/data/sn89077510/00332897895/1873071201/0387.pdf
['The Carbon advocate.'],08-22-1874,2,['sn83032231'],['lehighton'],['pennsylvania'],"['Penn State University Libraries; University Park, PA']",['pst_borland_ver01'],https://tile.loc.gov/storage-services/service/ndnp/pst/batch_pst_borland_ver01/data/sn83032231/00237287460/1874082201/0178.pdf
['The Elk County advocate.'],05-28-1874,1,['sn84026259'],['ridgway'],['pennsylvania'],"['Penn State University Libraries; University Park, PA']",['pst_deike_ver01'],https://tile.loc.gov/storage-services/service/ndnp/pst/batch_pst_deike_ver01/data/sn84026259/00280776087/1874052801/0283.pdf
"[""The workingman's advocate""]",05-23-1874,2,['sn89077510'],"['chicago', 'philadelphia', 'detroit', 'cincinnati']","['illinois', 'pennsylvania', 'michigan', 'ohio']","['University of Illinois at Urbana-Champaign Library, Urbana, IL']",['iune_amethyst_ver01'],https://tile.loc.gov/storage-services/service/ndnp/iune/batch_iune_amethyst_ver01/data/sn89077510/00332897895/1874052301/0551.pdf
"[""The workingman's advocate""]",07-13-1872,1,['sn89077510'],"['chicago', 'philadelphia', 'detroit', 'cincinnati']","['illinois', 'pennsylvania', 'michigan', 'ohio']","['University of Illinois at Urbana-Champaign Library, Urbana, IL']",['iune_amethyst_ver01'],https://tile.loc.gov/storage-services/service/ndnp/iune/batch_iune_amethyst_ver01/data/sn89077510/00332897895/1872071301/0201.pdf
"[""The workingman's advocate""]",07-05-1873,1,['sn89077510'],"['chicago', 'philadelphia', 'detroit', 'cincinnati']","['illinois', 'pennsylvania', 'michigan', 'ohio']","['University of Illinois at Urbana-Champaign Library, Urbana, IL']",['iune_amethyst_ver01'],https://tile.loc.gov/storage-services/service/ndnp/iune/batch_iune_amethyst_ver01/data/sn89077510/00332897895/1873070501/0381.pdf
"[""The workingman's advocate""]",06-14-1873,2,['sn89077510'],"['chicago', 'philadelphia', 'detroit', 'cincinnati']","['illinois', 'pennsylvania', 'michigan', 'ohio']","['University of Illinois at Urbana-Champaign Library, Urbana, IL']",['iune_amethyst_ver01'],https://tile.loc.gov/storage-services/service/ndnp/iune/batch_iune_amethyst_ver01/data/sn89077510/00332897895/1873061401/0370.pdf
['Juniata sentinel and Republican.'],07-01-1874,1,['sn86053634'],['mifflintown'],['pennsylvania'],"['Penn State University Libraries; University Park, PA']",['pst_hetzel_ver01'],https://tile.loc.gov/storage-services/service/ndnp/pst/batch_pst_hetzel_ver01/data/sn86053634/00280776671/1874070101/0149.pdf
['The Bloomfield times.'],12-01-1874,3,['sn84026050'],['new bloomfield'],['pennsylvania'],"['Penn State University Libraries; University Park, PA']",['pst_irvin_ver01'],https://tile.loc.gov/storage-services/service/ndnp/pst/batch_pst_irvin_ver01/data/sn84026050/00280776816/1874120101/0400.pdf
['The post.'],02-05-1874,2,['sn84026106'],['middleburg'],['pennsylvania'],"['Penn State University Libraries; University Park, PA']",['pst_hetzel_ver01'],https://tile.loc.gov/storage-services/service/ndnp/pst/batch_pst_hetzel_ver01/data/sn84026106/00280776555/1874020501/0739.pdf
['The Bloomfield times.'],09-30-1873,4,['sn84026050'],['new bloomfield'],['pennsylvania'],"['Penn State University Libraries; University Park, PA']",['pst_jordan_ver01'],https://tile.loc.gov/storage-services/service/ndnp/pst/batch_pst_jordan_ver01/data/sn84026050/00280776804/1873093001/0760.pdf
['The Jeffersonian.'],04-02-1874,1,['sn84026399'],['stroudsburg'],['pennsylvania'],"['Penn State University Libraries; University Park, PA']",['pst_mateer_ver01'],https://tile.loc.gov/storage-services/service/ndnp/pst/batch_pst_mateer_ver01/data/sn84026399/00212478027/1874040201/0029.pdf
['Juniata sentinel.'],07-23-1873,4,['sn84026118'],['mifflintown'],['pennsylvania'],"['Penn State University Libraries; University Park, PA']",['pst_fenske_ver02'],https://tile.loc.gov/storage-services/service/ndnp/pst/batch_pst_fenske_ver02/data/sn84026118/00280776348/1873072301/0528.pdf
['The Jeffersonian.'],04-03-1873,1,['sn84026399'],['stroudsburg'],['pennsylvania'],"['Penn State University Libraries; University Park, PA']",['pst_mateer_ver01'],https://tile.loc.gov/storage-services/service/ndnp/pst/batch_pst_mateer_ver01/data/sn84026399/00212478015/1873040301/0465.pdf
['The Jeffersonian.'],09-10-1874,1,['sn84026399'],['stroudsburg'],['pennsylvania'],"['Penn State University Libraries; University Park, PA']",['pst_mateer_ver01'],https://tile.loc.gov/storage-services/service/ndnp/pst/batch_pst_mateer_ver01/data/sn84026399/00212478027/1874091001/0117.pdf
['Juniata sentinel.'],10-23-1872,2,['sn84026118'],['mifflintown'],['pennsylvania'],"['Penn State University Libraries; University Park, PA']",['pst_fenske_ver02'],https://tile.loc.gov/storage-services/service/ndnp/pst/batch_pst_fenske_ver02/data/sn84026118/00280776348/1872102301/0375.pdf
"[""The workingman's advocate""]",03-02-1872,3,['sn89077510'],"['chicago', 'philadelphia', 'detroit', 'cincinnati']","['illinois', 'pennsylvania', 'michigan', 'ohio']","['University of Illinois at Urbana-Champaign Library, Urbana, IL']",['iune_amethyst_ver01'],https://tile.loc.gov/storage-services/service/ndnp/iune/batch_iune_amethyst_ver01/data/sn89077510/00332897895/1872030201/0135.pdf
['Juniata sentinel and Republican.'],03-25-1874,2,['sn86053634'],['mifflintown'],['pennsylvania'],"['Penn State University Libraries; University Park, PA']",['pst_hetzel_ver01'],https://tile.loc.gov/storage-services/service/ndnp/pst/batch_pst_hetzel_ver01/data/sn86053634/00280776671/1874032501/0094.pdf
['Clearfield Republican.'],05-20-1874,1,['sn83032199'],['clearfield'],['pennsylvania'],"['Penn State University Libraries; University Park, PA']",['pst_lasch_ver01'],https://tile.loc.gov/storage-services/service/ndnp/pst/batch_pst_lasch_ver01/data/sn83032199/00212477862/1874052001/0587.pdf
"[""The workingman's advocate""]",06-01-1872,2,['sn89077510'],"['chicago', 'philadelphia', 'detroit', 'cincinnati']","['illinois', 'pennsylvania', 'michigan', 'ohio']","['University of Illinois at Urbana-Champaign Library, Urbana, IL']",['iune_amethyst_ver01'],https://tile.loc.gov/storage-services/service/ndnp/iune/batch_iune_amethyst_ver01/data/sn89077510/00332897895/1872060101/0182.pdf
['Juniata sentinel and Republican.'],10-28-1874,4,['sn86053634'],['mifflintown'],['pennsylvania'],"['Penn State University Libraries; University Park, PA']",['pst_hetzel_ver01'],https://tile.loc.gov/storage-services/service/ndnp/pst/batch_pst_hetzel_ver01/data/sn86053634/00280776671/1874102801/0221.pdf
['Juniata sentinel and Republican.'],11-25-1874,2,['sn86053634'],['mifflintown'],['pennsylvania'],"['Penn State University Libraries; University Park, PA']",['pst_hetzel_ver01'],https://tile.loc.gov/storage-services/service/ndnp/pst/batch_pst_hetzel_ver01/data/sn86053634/00280776671/1874112501/0235.pdf
['Clearfield Republican.'],06-10-1874,1,['sn83032199'],['clearfield'],['pennsylvania'],"['Penn State University Libraries; University Park, PA']",['pst_lasch_ver01'],https://tile.loc.gov/storage-services/service/ndnp/pst/batch_pst_lasch_ver01/data/sn83032199/00212477862/1874061001/0600.pdf
"[""The workingman's advocate""]",03-28-1874,2,['sn89077510'],"['chicago', 'philadelphia', 'detroit', 'cincinnati']","['illinois', 'pennsylvania', 'michigan', 'ohio']","['University of Illinois at Urbana-Champaign Library, Urbana, IL']",['iune_amethyst_ver01'],https://tile.loc.gov/storage-services/service/ndnp/iune/batch_iune_amethyst_ver01/data/sn89077510/00332897895/1874032801/0522.pdf
['The Elk County advocate.'],01-02-1873,1,['sn84026259'],['ridgway'],['pennsylvania'],"['Penn State University Libraries; University Park, PA']",['pst_deike_ver01'],https://tile.loc.gov/storage-services/service/ndnp/pst/batch_pst_deike_ver01/data/sn84026259/00280776087/1873010201/0016.pdf
"[""The workingman's advocate""]",10-19-1872,2,['sn89077510'],"['chicago', 'philadelphia', 'detroit', 'cincinnati']","['illinois', 'pennsylvania', 'michigan', 'ohio']","['University of Illinois at Urbana-Champaign Library, Urbana, IL']",['iune_amethyst_ver01'],https://tile.loc.gov/storage-services/service/ndnp/iune/batch_iune_amethyst_ver01/data/sn89077510/00332897895/1872101901/0250.pdf
['The Cambria freeman.'],05-08-1874,3,['sn83032041'],['ebensburg'],['pennsylvania'],"['Penn State University Libraries; University Park, PA']",['pst_kern_ver01'],https://tile.loc.gov/storage-services/service/ndnp/pst/batch_pst_kern_ver01/data/sn83032041/00212477692/1874050801/0679.pdf
['The Cambria freeman.'],05-22-1874,3,['sn83032041'],['ebensburg'],['pennsylvania'],"['Penn State University Libraries; University Park, PA']",['pst_kern_ver01'],https://tile.loc.gov/storage-services/service/ndnp/pst/batch_pst_kern_ver01/data/sn83032041/00212477692/1874052201/0687.pdf
['The Centre reporter.'],03-05-1874,3,['sn83032058'],['centre hall'],['pennsylvania'],"['Penn State University Libraries; University Park, PA']",['pst_kellerman_ver01'],https://tile.loc.gov/storage-services/service/ndnp/pst/batch_pst_kellerman_ver01/data/sn83032058/00296028721/1874030501/0647.pdf
['The Centre reporter.'],05-31-1872,4,['sn83032058'],['centre hall'],['pennsylvania'],"['Penn State University Libraries; University Park, PA']",['pst_kellerman_ver01'],https://tile.loc.gov/storage-services/service/ndnp/pst/batch_pst_kellerman_ver01/data/sn83032058/00296028721/1872053101/0294.pdf
['Pennsylvanische Staats zeitung.'],10-09-1873,3,['sn84026721'],"['harrisburg', 'lancaster']",['pennsylvania'],"['Penn State University Libraries; University Park, PA']",['pst_intramural_ver01'],https://tile.loc.gov/storage-services/service/ndnp/pst/batch_pst_intramural_ver01/data/sn84026721/00296028484/1873100901/0956.pdf
